Game,PlayID,Qtr,Time,Off,Situation,Description,DrivePlays,DriveYards,DriveTime,AwayScoreAfterDrive,HomeScoreAfterDrive,HomeTeam,AwayTeam,Week,GameID,Down,Distance,Yardline_100,GoalToGo,PlayType
1,160,1,02:43,DC,4th & 1 DC 40,(No Huddle) J.Pressley rush right guard to DC 44 for 4 yards (J.Smith; N.Temple),,,,,,DC,SEA,1,2020020800,4,1,60,0,run
1,165,1,02:04,DC,1st & 10 DC 44,"(No Huddle, Shotgun) C.Jones sacked at DC 36 for -8 yards (J.Smith; W.Sutton)",,,,,,DC,SEA,1,2020020800,1,10,56,0,pass
1,170,1,01:20,DC,2nd & 18 DC 36,"(No Huddle, Shotgun) C.Jones pass short middle to E.Rogers to DC 44 for 8 yards (N.Temple)",,,,,,DC,SEA,1,2020020800,2,18,64,0,pass
1,175,1,00:43,DC,3rd & 10 DC 44,"(No Huddle, Shotgun) C.Jones pass short left to M.Dupre to SEA 46 for 10 yards (J.Clark)",,,,,,DC,SEA,1,2020020800,3,10,56,0,pass
1,180,1,00:01,DC,1st & 10 SEA 46,"(No Huddle, Shotgun) C.Jones pass deep left to D.Ernsberger to SEA 24 for 22 yards (C.Stribling)",,,,,,DC,SEA,1,2020020800,1,10,46,0,pass
1,185,2,15:00,DC,1st & 10 SEA 24,(Shotgun) C.Jones scrambles right tackle to SEA 15 for 9 yards (S.Johnson),,,,,,DC,SEA,1,2020020800,1,10,24,0,pass
1,190,2,14:24,DC,2nd & 1 SEA 15,"(No Huddle, Shotgun) D.Pumphrey rush left guard to SEA 16 for -1 yards (J.Thompson)",,,,,,DC,SEA,1,2020020800,2,1,15,0,run
1,195,2,13:51,DC,3rd & 2 SEA 16,(Shotgun) C.Jones FUMBLES (Aborted) at SEA 20. Recovers at SEA 18.C.Jones rush up the middle given up at the SEA 18,,,,,,DC,SEA,1,2020020800,3,2,16,0,run
1,200,2,13:09,DC,4th & 4 SEA 18,"(Field Goal) T.Rausa 35 yard field goal is No Good, Missed wide left.",,,,,,DC,SEA,1,2020020800,4,4,18,0,field goal
1,205,2,13:09,SEA,1st & 10 SEA 25,B.Silvers pass short right to B.Johnson to SEA 43 for 18 yards (M.Elam),,,,,,DC,SEA,1,2020020800,1,10,75,0,pass
1,210,2,12:25,SEA,1st & 10 SEA 43,T.Williams rush left end to SEA 48 for 5 yards (A.Williams),,,,,,DC,SEA,1,2020020800,1,10,57,0,run
1,215,2,11:49,SEA,2nd & 5 SEA 48,(Shotgun) B.Silvers pass incomplete short middle to A.Proehl.,,,,,,DC,SEA,1,2020020800,2,5,52,0,pass
1,220,2,11:26,SEA,1st & 10 DC 48,(Shotgun) B.Silvers pass incomplete deep left to A.Moore (D.Lawrence).,,,,,,DC,SEA,1,2020020800,1,10,48,0,pass
1,225,2,10:53,SEA,2nd & 10 DC 48,(Shotgun) B.Silvers pass incomplete short left to T.Williams.,,,,,,DC,SEA,1,2020020800,2,10,48,0,pass
1,230,2,10:31,SEA,3rd & 10 DC 48,(Shotgun) B.Silvers pass short middle intended for A.Proehl INTERCEPTED by R.Moore at DC 39. R.Moore to DC 45 for 9 yards (A.Proehl),,,,,,DC,SEA,1,2020020800,3,10,48,0,pass
1,235,2,10:23,DC,1st & 10 DC 45,(Shotgun) C.Jones pass short left to J.Pressley to DC 48 for 3 yards (N.Temple),,,,,,DC,SEA,1,2020020800,1,10,55,0,pass
1,240,2,09:41,DC,2nd & 7 DC 48,"(No Huddle, Shotgun) C.Jones pass incomplete short middle to M.Dupre.",,,,,,DC,SEA,1,2020020800,2,7,52,0,pass
