ClubCode,logo
DC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/dc.png&amp;w=20&amp;h=20
STL,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/stl.png&amp;w=20&amp;h=20
NY,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/ny.png&amp;w=20&amp;h=20
DAL,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/dal.png&amp;w=20&amp;h=20
TB,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/tb.png&amp;w=20&amp;h=20
HOU,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/hou.png&amp;w=20&amp;h=20
SEA,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/sea.png&amp;w=20&amp;h=20
LA,https://a.espncdn.com/combiner/i?img=/i/teamlogos/xfl/500/la.png&amp;w=20&amp;h=20
